"旅次日期","旅次時段.Ex..12表示為12時00分至12時59分.","票證分類..N.IC..非電子票證..IC..電子票證.","電子票證卡種","持卡身分","搭乘路線代碼","搭乘路線名稱","附屬路線唯一代碼","附屬路線中文名稱","路線方向.0.去程.1.返程.","起站.站牌代碼","起站.站牌名稱","迄站.站牌代碼","迄站.站牌名稱","載客量","資料代表日期.yyyy.MM.dd."
"2023-01-14","7","IC","iPASS","C01","ILA0343","1791","ILA034301","1791","0","ILA241730","仙水寺","ILA234965","文化國中","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA302879","蘇澳轉運站","ILA297211","南方澳","2","2023-01-14"
"2023-01-14","11","IC","EasyCard","C01","ILA0783","1785","ILA078301","1785","0","ILA303088","宜蘭火車站(光復路)","ILA234669","湖北","2","2023-01-14"
"2023-01-14","15","IC","EasyCard","B","ILA0346","1795","ILA0346B1","1795B","0","ILA115944","羅東夜市(中山公園)","ILA235288","寒溪","2","2023-01-14"
"2023-01-14","18","IC","iPASS","C01","ILA0312","1743","ILA031202","1743","1","ILA115753","大同鄉公所","ILA244581","外員山","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","C01","ILA0011","紅1","ILA001102","紅1","1","ILA297189","第一銀行","ILA297133","礁溪轉運站","2","2023-01-14"
"2023-01-14","7","IC","EasyCard","C01","ILA0012","紅2","ILA001202","紅2","1","ILA297071","聖湖","ILA297083","羅東夜市(中山公園)","1","2023-01-14"
"2023-01-14","17","IC","iPASS","B","ILA0783","1785","ILA078301","1785","0","ILA303068","員山國中","ILA234678","圳頭","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","C02","ILA0350","1799","ILA035001","1799","0","ILA302879","蘇澳轉運站","ILA235591","永樂里","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0624","1792","ILA062402","1792","1","ILA244980","宜蘭監獄","ILA235100","成功派出所(文化工場)","1","2023-01-14"
"2023-01-14","10","IC","iPASS","C01","ILA0011","紅1","ILA001101","紅1","0","ILA297137","礁溪湯圍溝","ILA297188","第一銀行","1","2023-01-14"
"2023-01-14","12","IC","iPASS","C01","ILA0343","1791","ILA034301","1791","0","ILA234931","倉前路","ILA244886","南方澳","1","2023-01-14"
