RouteUID,RouteID,RouteNameZh_tw,RouteNameEn,OperatorID,OperatorNameZh_tw,OperatorNameEn,OperatorCode,OperatorNo,SubRouteUID,SubRouteID,SubRouteNameZh_tw,SubRouteNameEn,Direction,City,CityCode,StopUID,StopID,StopNameZh_tw,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,GeoHash,StationID,StationGroupID,LocationCityCode
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297160","297160","玉光村","Yuguang Village",0,28,24.79112,121.76205,"wsqt4c06t","133934","262－128","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297162","297162","四城","Sicheng",0,29,24.787387,121.761526,"wsqt4b2hc","133936","262－129","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297164","297164","一結","Yijie",0,30,24.78267,121.76041,"wsqsfxx1x","133938","260－157","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297166","297166","茭白里","Jiaobai Village",0,31,24.77992,121.75957,"wsqsfxn97","133940","260－158","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297169","297169","台富","Taifu",0,32,24.7766,121.75861,"wsqsfwmyj","133942","260－159","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297171","297171","吳沙路","Wusha Rd.",0,33,24.77363,121.75774,"wsqsftvkb","133944","260－160","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297181","297181","新生里","Xinsheng Village",0,34,24.768283,121.756125,"wsqsfsuje","131217","260－111","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA299053","299053","河濱公園","Riverside Park",0,35,24.76417,121.75467,"wsqsfs5j9","131218","260－112","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA303090","303090","蘭陽別院(念佛會)","Lan Yang House",0,36,24.762132,121.753852,"wsqsfef3y","133947","260－161","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297186","297186","北門","Beimen",0,37,24.759673,121.75302,"wsqsfe3gd","131220","260－114","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297188","297188","第一銀行","Wenchang Rd(First Bank)",0,38,24.757266,121.752503,"wsqsfdcmw","133949","260－140","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297190","297190","宜蘭中山公園","Yilan Park",0,39,24.75433,121.75378,"wsqsfd6kk","133951","260－162","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297192","297192","宜蘭火車站(光復路)","Yilan Train Station(Guangfu Rd.)",0,40,24.754995,121.756177,"wsqsfds0k","133953","260－163","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297194","297194","幸福轉運站","Happy Station",0,41,24.75169,121.7563,"wsqsf9ujp","132337","260－058","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001101","001101","紅1","紅1",0,"YilanCounty","ILA","ILA297023","297023","宜蘭轉運站","Yilan Bus Station",-1,42,24.751763,121.75972,"wsqsf9ytr","130073","260－055","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297035","297035","宜蘭轉運站","Yilan Bus Station",1,1,24.751763,121.75972,"wsqsf9ytr","129823","260－055","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297195","297195","幸福轉運站","Happy Station",0,2,24.7519,121.75655,"wsqsf9uqm","132338","260－058","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297193","297193","宜蘭火車站(光復路)","Yilan Train Station(Guangfu Rd.)",0,3,24.75501,121.75684,"wsqsfds8k","133954","260－163","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297191","297191","宜蘭中山公園","Yilan Park",0,4,24.75447,121.75381,"wsqsfd6mj","133952","260－162","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297189","297189","第一銀行","Wenchang Rd(First Bank)",0,5,24.75755,121.75266,"wsqsfdcx4","133950","260－140","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297187","297187","北門","Beimen",0,6,24.759172,121.753009,"wsqsfe3bd","131254","260－114","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA303091","303091","蘭陽別院(念佛會)","Lan Yang House",0,7,24.762247,121.754012,"wsqsfefdd","133948","260－161","ILA"
